Año,Trimestre,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,Otras Velocidades,Total Velocidades,Mbps (Media de bajada),ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total Accesos,Banda ancha fija,Dial up,Total dial_BAf,Accesos por cada 100 hogares,Accesos por cada 100 hab,Ingresos (miles de pesos)
2023,4,29708,71742,900253,978108,697232,350290,8224736,295592,11547661,139.04,836390,6022532,3908183,585760,194796,11547661,11535868,11793,11547661,78.56,24.66,167376014.8
2023,3,30274,80609,945608,998725,720084,350918,8003269,277421,11406908,129.67,897895,6018832,3708718,581436,200027,11406908,11395115,11793,11406908,77.84,24.41,133106593.41
2023,2,30827,79405,963510,1028250,734125,364730,7775095,275955,11251897,123.95,1006509,5997149,3463988,581823,202428,11251897,11239781,12116,11251897,77.02,24.14,118060280.28
2023,1,31437,82048,1001553,1060321,729194,357769,7564819,414754,11241895,110.5,1204417,6002582,3243411,576647,214838,11241895,11229459,12436,11241895,77.2,24.17,104134992.81
2022,4,31981,85668,1075272,1109421,765015,335573,7410902,394282,11208114,106.56,1315373,6037457,3060575,572969,221740,11208114,11195668,12446,11208114,77.21,24.15,72443482.99
2022,3,33013,96727,1161370,1151906,823505,479822,6995750,349035,11091128,62.46,1395277,6031970,2871541,557110,235230,11091128,11078691,12437,11091128,76.64,23.95,64086784.33
2022,2,33667,99498,1193090,1197030,856562,485321,6741922,351594,10958684,58.44,1468333,5979214,2723285,556243,231609,10958684,10946248,12436,10958684,75.97,23.72,60419500.62
2022,1,34890,104840,1263273,1209148,967508,509830,6336187,198333,10624009,55.11,1533240,6073426,2219533,545814,251996,10624009,10611390,12619,10624009,73.88,23.05,55219313.01
2021,4,41262,28521,1413208,1245333,976539,558358,6032322,194251,10489794,52.34,1657615,5984240,2072236,523107,252596,10489794,10476933,12861,10489794,73.18,22.81,45467887.17
2021,3,40174,41437,2550229,1095772,710122,536364,4948174,163269,10085541,48.46,1950631,5826257,1566048,492415,250190,10085541,10075184,10357,10085541,70.58,21.98,42999944.29
2021,2,40172,42024,2531271,1080279,693277,647401,4661291,167369,9863084,45.63,2018587,5641731,1472246,476968,253552,9863084,9852702,10382,9863084,69.24,21.55,38239666.63
2021,1,39487,41674,2593477,1072722,737930,595920,4379965,186797,9647972,43.11,2175211,5424782,1362976,434548,250455,9647972,9637956,10016,9647972,67.95,21.13,36676371.36
2020,4,39510,42185,2622638,1073875,786595,582420,4239237,185102,9571562,42.36,2213949,5371824,1311199,421554,253036,9571562,9561546,10016,9571562,67.62,21.01,33539702.72
2020,3,41038,44005,2637984,1040017,799350,538567,4053461,201777,9356199,40.67,2263889,5259351,1170879,413259,248821,9356199,9346183,10016,9356199,66.31,20.59,31997444.53
2020,2,41038,48690,2651502,1053107,807775,523437,3711499,194008,9031056,38.32,2295533,5005115,1106725,376667,247016,9031056,9021040,10016,9031056,64.21,19.92,32102475.99
2020,1,42550,56170,2649819,1022014,814470,532309,3500882,194212,8812426,37.52,2299457,4903674,1047817,352333,209145,8812426,8802435,9991,8812426,62.86,19.48,29946216.45
2019,4,38272,28980,2792307,1046128,851619,1004083,2830746,201046,8793181,28.26,2414575,4883869,941295,340144,213298,8793181,8783053,10128,8793181,62.92,19.49,24169250.7
2019,3,241713,80599,3309137,1026859,806466,1141545,2314898,243467,9164684,24.18,2909805,4800091,852221,338241,264326,9164684,9142891,21793,9164684,65.79,20.36,21652748.44
2019,2,202790,95980,3444458,871142,1169632,1250366,1677830,247983,8960181,20.33,2990457,4635575,760794,308027,265328,8960181,8938427,21754,8960181,64.53,19.96,20743117.69
2019,1,166573,195706,3428759,882836,1464748,1244215,1138728,126570,8648135,17.38,3132789,4435439,637099,276419,166389,8648135,8626323,21812,8648135,62.48,19.31,20207413.77
2018,4,138740,201196,3337982,882388,1472634,1688748,599579,152388,8473655,15.95,3329027,4313831,388013,264299,178485,8473655,8451841,21814,8473655,61.42,18.97,16637686.59
2018,3,5675,220589,3401277,859413,1607137,1571692,524777,156475,8347035,15.36,3521447,4238171,247366,246181,93870,8347035,8320223,26812,8347035,60.69,18.73,15410980.69
2018,2,5972,219467,3316868,979416,1905839,1000036,444391,238455,8110444,13.85,3557216,4038141,226285,194267,94535,8110444,8083533,26911,8110444,59.16,18.24,14319467.46
2018,1,7309,215406,3272724,976956,2068087,862010,397977,236584,8037053,13.22,3574294,3981129,217460,165300,98870,8037053,8009981,27072,8037053,58.82,18.12,13171459.23
2017,4,15041,221474,3773159,1005545,1730353,631946,337559,155145,7870222,12.01,3584311,3818157,211425,155775,100554,7870222,7842778,27444,7870222,57.78,17.79,11226127.39
2017,3,19022,217997,4062226,1062810,1592304,353480,245790,0,7553629,8.34,3622575,3670221,193964,106443,131740,7724943,7696594,28349,7724943,56.9,17.51,10065997.86
2017,2,22366,222766,4416065,990281,1342000,231604,98635,0,7323717,7.16,3723518,3383434,180777,85813,56122,7429664,7401134,28530,7429664,54.9,16.88,9678646.93
2017,1,20653,230159,4584534,975027,1129987,210668,47990,0,7199018,6.62,3708898,3276251,180146,84813,55746,7305854,7277314,28540,7305854,54.16,16.64,8701201.42
2016,4,20724,233398,4673339,971094,1038029,169522,38590,0,7144696,6.34,3722794,3210602,178070,85119,55088,7251673,7223128,28545,7251673,53.94,16.56,7483980.39
2016,3,20104,294413,4816081,936533,919208,124564,31022,0,7141925,5.94,3776442,3124855,169898,81455,54300,7206950,7178340,28610,7206950,53.73,16.5,6912441.54
2016,2,44008,384221,5058481,796998,785759,73977,29020,0,7172464,5.42,3782085,3035272,167788,85452,59482,7130079,7097604,32475,7130079,53.34,16.37,6534240.6
2016,1,30428,404810,4944358,762999,641646,27664,23380,0,6835285,5.08,3792493,2806359,164371,85370,58763,6907356,6874704,32652,6907356,51.85,15.9,5936844.89
2015,4,34243,427394,5049640,726740,639011,17568,22170,0,6916766,4.99,3803024,2898226,139187,85726,58668,6984831,6952289,32542,6984831,52.63,16.12,5376899.21
2015,3,35030,455777,5087802,701187,539414,13101,20677,0,6852988,4.79,3788696,2840203,162663,84530,58976,6935068,6902267,32801,6935068,52.46,16.05,5153738.88
2015,2,40723,500175,5138431,645440,432762,10045,18529,0,6786105,4.55,3767821,2756294,150839,82077,59157,6816188,6783279,32909,6816188,51.76,15.82,4701790.72
2015,1,41158,516919,5121423,571620,348102,7643,16347,0,6623212,4.35,3756153,2668248,168188,79098,66045,6737732,6699714,38018,6737732,51.36,15.68,4876385.32
2014,4,44075,554749,5084556,496251,276254,4371,15229,0,6475485,4.16,3764038,2536219,149682,76984,71573,6598496,6559172,39324,6598496,50.5,15.39,3950440.78
2014,3,37430,608018,5153437,373372,182483,507,12424,0,6367671,3.87,3714764,2569868,155494,85096,70049,6595271,6559264,36007,6595271,50.67,15.43,3478637.74
2014,2,41064,656408,5149574,341689,147273,478,12259,0,6348745,3.76,3708882,2461670,149363,72405,72148,6464468,6428329,36139,6464468,49.86,15.16,3270816.2
2014,1,52684,687619,5130294,289182,101127,345,11595,0,6272846,3.62,3697066,2407330,150323,70749,72930,6398398,6362108,36290,6398398,49.55,15.05,2984054.21
